Is Optimized,Prediction,Confidence Score,Inference Time (ms),Total Time (ms)
0,Normal,0.774,102,123
0,Normal,0.774,42,87
0,Normal,0.774,44,79
0,Normal,0.774,43,116
0,Normal,0.774,45,92
0,Normal,0.774,122,180
0,Normal,0.774,118,211
0,Normal,0.774,46,85
0,Normal,0.774,55,104
0,Normal,0.774,45,87
0,Normal,0.774,45,105
0,Normal,0.774,45,78
0,Normal,0.774,40,69
0,Normal,0.774,40,74
0,Normal,0.774,41,75
0,Normal,0.774,41,88
0,Normal,0.774,41,72
0,Normal,0.774,53,79
0,Normal,0.774,55,77
0,Normal,0.774,42,89
0,Normal,0.774,41,76
0,Normal,0.774,43,82
0,Normal,0.774,42,82
0,Normal,0.774,42,83
0,Normal,0.774,41,78
0,Normal,0.774,40,69
0,Normal,0.774,40,79
0,Normal,0.774,42,81
0,Normal,0.774,52,84
0,Normal,0.774,40,83
0,Normal,0.774,42,89
0,Normal,0.774,65,89
0,Normal,0.774,40,84
0,Normal,0.774,43,81
0,Normal,0.774,47,78
0,Normal,0.774,39,57
0,Normal,0.774,41,86
0,Normal,0.774,43,79
0,Normal,0.774,40,69
0,Normal,0.774,42,97
0,Normal,0.774,41,87
0,Normal,0.774,40,78
0,Normal,0.774,42,61
0,Normal,0.774,44,88
0,Normal,0.774,47,77
0,Normal,0.774,801,876
0,Normal,0.774,42,78
0,Normal,0.774,40,86
0,Normal,0.774,42,84
0,Normal,0.774,42,74
0,Normal,0.774,40,80
0,Normal,0.774,56,101
0,Normal,0.774,41,81
0,Normal,0.774,41,72
0,Normal,0.774,42,73
0,Normal,0.774,55,88
0,Normal,0.774,40,83
0,Normal,0.774,42,80
0,Normal,0.774,44,73
0,Normal,0.774,39,83
0,Normal,0.774,42,67
0,Normal,0.774,40,88
0,Normal,0.774,41,80
0,Normal,0.774,46,91
0,Normal,0.774,44,80
0,Normal,0.774,42,61
0,Normal,0.774,44,82
0,Normal,0.774,48,81
0,Normal,0.774,40,72
0,Normal,0.774,41,84
0,Normal,0.774,44,86
0,Normal,0.774,41,72
0,Normal,0.774,42,82
0,Normal,0.774,45,81
0,Normal,0.774,40,78
0,Normal,0.774,43,68
0,Normal,0.774,44,81
0,Normal,0.774,53,83
0,Normal,0.774,42,69
0,Normal,0.774,42,71
0,Normal,0.774,52,77
0,Normal,0.774,42,75
0,Normal,0.774,43,84
0,Normal,0.774,41,77
0,Normal,0.774,53,73
0,Normal,0.774,45,84
0,Normal,0.774,42,81
0,Normal,0.774,51,78
0,Normal,0.774,43,62
0,Normal,0.774,40,86
0,Normal,0.774,49,81
0,Normal,0.774,52,94
0,Normal,0.774,40,67
0,Normal,0.774,42,97
0,Normal,0.774,40,69
0,Normal,0.774,39,77
0,Normal,0.774,42,74
0,Normal,0.774,54,80
0,Normal,0.774,42,59
0,Normal,0.774,42,86
0,Fracture,0.884,712,914
0,Fracture,0.884,484,531
0,Fracture,0.884,466,511
0,Fracture,0.884,471,515
0,Fracture,0.884,474,521
0,Fracture,0.884,466,508
0,Fracture,0.884,461,504
0,Fracture,0.884,465,508
0,Fracture,0.884,465,508
0,Fracture,0.884,471,514
0,Fracture,0.884,463,507
0,Fracture,0.884,468,511
0,Fracture,0.884,471,515
0,Fracture,0.884,516,558
0,Fracture,0.884,461,507
0,Fracture,0.884,464,508
0,Fracture,0.884,468,511
0,Fracture,0.884,460,504
0,Fracture,0.884,462,506
0,Fracture,0.884,462,507
0,Fracture,0.884,461,505
0,Fracture,0.884,457,500
0,Fracture,0.884,462,505
0,Fracture,0.884,465,508
0,Fracture,0.884,464,507
0,Fracture,0.884,458,501
0,Fracture,0.884,456,499
0,Fracture,0.884,458,501
0,Fracture,0.884,455,498
0,Fracture,0.884,462,505
0,Fracture,0.884,457,500
0,Fracture,0.884,468,512
0,Fracture,0.884,461,504
0,Fracture,0.884,480,523
0,Fracture,0.884,462,505
0,Fracture,0.884,460,503
0,Fracture,0.884,463,506
0,Fracture,0.884,465,508
0,Fracture,0.884,463,506
0,Fracture,0.884,456,500
0,Fracture,0.884,458,502
0,Fracture,0.884,458,501
0,Fracture,0.884,462,505
0,Fracture,0.884,461,505
0,Fracture,0.884,465,508
0,Fracture,0.884,462,506
0,Fracture,0.884,452,495
0,Fracture,0.884,467,510
0,Fracture,0.884,458,501
0,Fracture,0.884,467,510
0,Fracture,0.884,462,505
0,Fracture,0.884,462,505
0,Fracture,0.884,467,511
0,Fracture,0.884,456,500
0,Fracture,0.884,462,506
0,Fracture,0.884,452,495
0,Fracture,0.884,463,506
0,Fracture,0.884,462,506
0,Fracture,0.884,460,504
0,Fracture,0.884,464,507
0,Fracture,0.884,461,504
0,Fracture,0.884,458,501
0,Fracture,0.884,467,511
0,Fracture,0.884,458,502
0,Fracture,0.884,457,501
0,Fracture,0.884,460,503
0,Fracture,0.884,467,512
0,Fracture,0.884,478,521
0,Fracture,0.884,460,504
0,Fracture,0.884,456,498
0,Fracture,0.884,468,511
0,Fracture,0.884,458,501
0,Fracture,0.884,473,517
0,Fracture,0.884,461,504
0,Fracture,0.884,462,505
0,Fracture,0.884,456,499
0,Fracture,0.884,465,508
0,Fracture,0.884,460,503
0,Fracture,0.884,456,499
0,Fracture,0.884,459,502
0,Fracture,0.884,465,508
0,Fracture,0.884,460,503
0,Fracture,0.884,453,496
0,Fracture,0.884,459,502
0,Fracture,0.884,455,499
0,Fracture,0.884,455,498
0,Fracture,0.884,462,505
0,Fracture,0.884,464,507
0,Fracture,0.884,460,503
0,Fracture,0.884,461,507
0,Fracture,0.884,452,495
0,Fracture,0.884,456,499
0,Fracture,0.884,460,502
0,Fracture,0.884,458,502
0,Fracture,0.884,463,507
0,Fracture,0.884,463,506
0,Fracture,0.884,465,510
0,Fracture,0.884,489,532
0,Fracture,0.884,454,501
0,Fracture,0.884,458,501
