Is Optimized,Prediction,Confidence Score,Inference Time (ms),Total Time (ms)
0,Normal,0.971,1393,1434
0,Normal,0.964,48,79
0,Normal,0.98,56,107
0,Normal,0.978,48,86
0,Normal,0.961,46,78
0,Normal,0.974,45,87
0,Normal,0.981,47,85
0,Normal,0.963,47,87
0,Normal,0.965,48,89
0,Normal,0.96,45,81
0,Normal,0.954,49,87
0,Normal,0.974,48,78
0,Normal,0.949,50,89
0,Normal,0.97,47,85
0,Normal,0.972,48,84
0,Normal,0.938,57,86
0,Normal,0.98,49,88
0,Normal,0.974,60,101
0,Normal,0.98,46,69
0,Normal,0.969,47,78
0,Normal,0.964,62,93
0,Normal,0.949,49,85
0,Normal,0.96,47,86
0,Normal,0.97,47,85
0,Normal,0.965,46,83
0,Normal,0.964,46,87
0,Normal,0.98,49,85
0,Normal,0.971,47,83
0,Normal,0.977,49,81
0,Normal,0.942,58,97
0,Normal,0.934,47,77
0,Normal,0.974,49,88
0,Normal,0.975,49,86
0,Normal,0.952,45,90
0,Normal,0.958,48,86
0,Normal,0.948,52,84
0,Normal,0.968,46,75
0,Normal,0.953,48,103
0,Normal,0.983,46,91
0,Normal,0.963,46,85
0,Normal,0.949,46,83
0,Normal,0.976,47,92
0,Normal,0.957,46,74
0,Normal,0.958,47,69
0,Normal,0.956,45,86
0,Normal,0.982,46,81
0,Normal,0.974,47,65
0,Normal,0.968,46,84
0,Normal,0.966,47,76
0,Normal,0.978,46,86
0,Normal,0.945,46,89
0,Normal,0.976,47,82
0,Normal,0.959,45,78
0,Normal,0.965,45,94
0,Normal,0.975,47,85
0,Normal,0.966,48,80
0,Normal,0.955,56,83
0,Normal,0.945,49,88
0,Normal,0.959,49,89
0,Normal,0.975,46,86
0,Normal,0.931,56,84
0,Normal,0.956,62,112
0,Normal,0.944,46,86
0,Normal,0.969,47,88
0,Normal,0.971,47,85
0,Normal,0.971,55,82
0,Normal,0.962,301,322
0,Normal,0.965,45,92
0,Normal,0.967,53,84
0,Normal,0.953,49,69
0,Normal,0.979,49,84
0,Normal,0.938,46,87
0,Normal,0.955,58,102
0,Normal,0.973,267,344
0,Normal,0.954,46,80
0,Normal,0.964,46,69
0,Normal,0.973,47,82
0,Normal,0.982,45,91
0,Normal,0.983,46,83
0,Normal,0.957,46,94
0,Normal,0.953,259,345
0,Normal,0.958,45,84
0,Normal,0.969,56,86
0,Normal,0.977,48,75
0,Normal,0.98,48,84
0,Normal,0.971,47,92
0,Normal,0.969,46,81
0,Normal,0.955,45,94
0,Normal,0.967,46,88
0,Normal,0.958,46,81
0,Normal,0.951,47,88
0,Normal,0.98,47,87
0,Normal,0.962,47,90
0,Normal,0.968,47,73
0,Normal,0.986,48,89
0,Normal,0.978,46,83
0,Normal,0.971,47,79
0,Normal,0.964,48,66
0,Normal,0.98,47,89
0,Normal,0.969,48,84
